Resumen
* * * Sin Resumen * * *

Suc_Id,Bodega_Id,Categoria_ID,Articulo_Id,Textbox6,Existencia,AXS_Costo_Actual,AXS_Ultimo_Costo,Total,Textbox42,Textbox45,Textbox36,Textbox39,Textbox29,Textbox32,Textbox21,Textbox24
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210009123H,ACETAN 750MG X100,18.00,2.01,2.81,36.16,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210009423,ACETAN 80MG/5ML JBE 120ML,2.00,55.20,77.95,110.40,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210011101,ACFOL COMPLETE CAP X30,5.00,437.13,525.50,"2,185.66","13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210010388,ACFOL DHA 200MG TAB X30,1.00,414.48,393.32,414.48,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210010984,ACFOL PRENATAL TAB X30,1.00,305.93,346.77,305.93,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110014877H,ACICLOVIRAX 400MG CAP X30,9.00,18.96,23.64,170.61,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110002796,ACI-TIP 8000MG/100ML SUSP 200ML,3.00,272.80,314.08,818.40,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110009979,ACIVIREX 5% CREM 5GRS,1.00,100.89,127.14,100.89,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110009226H,ACROMONA OVU X100,36.00,26.06,33.41,938.26,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110027327,ACRONEVA 0.1% COL 5 ML,1.00,425.33,532.31,425.33,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110032565,ACROSAR 8MG TAB X30,1.00,637.14,827.82,637.14,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110032446,ACROSAR D 32/12.5MG TAB X30,1.00,635.52,816.68,635.52,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110032569,ACROSAR PLUS  16/5MG TAB X30,1.00,637.49,512.56,637.49,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110010060,ACROTUSSIN D GOT 30ML,2.00,293.06,372.46,586.12,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110009031,ACROTUSSIN D JBE 120ML,2.00,286.18,366.93,572.35,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110002955,ACRYLARM 0.2% GEL OFT 10GRS,1.00,269.63,311.59,269.63,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110046459,ACSODIX 10 10MG COMP/REC X30,1.00,"1,820.49","2,003.13","1,820.49","13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110046460,ACSODIX 20 20MG COMPR/REC X30,1.00,"2,323.78","2,559.56","2,323.78","13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110046458,ACSODIX 5 5MG COMP/REC X30,1.00,"1,008.28","1,112.85","1,008.28","13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110000152,ACTINIUM 300MG TAB  X20,1.00,439.96,457.18,439.96,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110015128,ACULAR LS COL 5ML,1.00,356.10,350.22,356.10,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110028287,ADEFIN 200MG/5ML SUSP 50ML,1.00,220.42,299.20,220.42,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210023779,ADEMAR C ADUL AMP/BEB X2,1.00,45.98,64.35,45.98,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110013029,ADENURIC 80MG COMP X28,1.00,"1,466.59","1,471.96","1,466.59","13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110048867,ADESTA 80MG TAB/REC X30,1.00,"1,113.39","1,113.39","1,113.39","13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110028807,ADIAPLEX 10MG TAB/REC X30,2.00,928.00,964.57,"1,855.99","13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210046563,ADOLEX K SUSP 120ML,1.00,158.02,217.90,158.02,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210011992,ADOLEX SUSP 120ML,2.00,104.74,149.33,209.48,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210001983,ADVIL 200MG GRAG X12,2.00,49.77,49.60,99.54,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210001571,AERO-OM 100MG/ML GOT 15ML,3.00,130.92,139.21,392.76,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210001572,AERO-OM 100MG/ML GOT 60ML,1.00,278.02,295.00,278.02,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210001574,AERO-OM 40MG TAB/MAST X30,3.00,168.35,178.69,505.04,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210001574H,AERO-OM 40MG TAB/MAST X30,15.00,5.61,5.96,84.17,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210001570,AERO-OM FORT 125MG TAB/MAST X20,2.00,299.88,317.90,599.75,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110019965,AFEXINA 30MG JBE 150ML,1.00,420.16,434.43,420.16,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110001170,AFRIN 0.05% SPRAY NASAL ADUL 15ML,2.00,195.96,197.75,391.93,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110012437,AFRIN LUB 0.05% SPRAY NASAL 20ML,1.00,233.91,234.69,233.91,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110011366,AFUMIX 37.5/500MG TAB X4,1.00,244.71,320.37,244.71,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110049113,AGARTI 6/0.4MG COMP X30,1.00,834.27,834.27,834.27,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210031009H,AGEFEN FEM 400MG SUSP/ORAL 10ML SOB X10,6.00,25.21,27.73,151.27,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210031010H,AGEFEN FORTE 600MG SUSP/ORAL 15ML SOB X10,8.00,26.60,29.26,212.80,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110009324,AGGLAD 0.2% COL 5ML,1.00,296.09,318.45,296.09,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210030918H,AIRESSA-COMPUESTA DUAL CAP X100,70.00,6.57,8.53,460.03,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110006683,AKINETON 2MG TAB X50,1.00,445.84,411.90,445.84,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110015760,ALACIR 60MG COMPR/REC X30,1.00,"1,898.04","2,095.63","1,898.04","13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110019981,ALAP 0.2% COL 3ML,3.00,432.94,385.39,"1,298.82","13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110029086,ALBENDAFAR COMPUESTO 200MG/150MG TAB X2,1.00,276.37,332.99,276.37,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
